station,lat,lon,mean_demand,cluster_id,cluster_label
William / Robert-Bourassa,45.49716534003792,-73.55933010578154,7.905061631261474,1,low
William / St-Henri,45.4988865267828,-73.55711728334427,8.72836916622968,1,low
Wolfe / Robin,45.51959908817399,-73.56020073872969,5.90869916509561,1,low
d'Orléans / Masson,45.557192,-73.569847,6.638985313751669,1,low
de Bellechasse / de Lanaudière,45.539306918976,-73.59521873295307,7.833768778576094,1,low
de Bellechasse / de St-Vallier,45.53341043363302,-73.60112428665161,11.25491698595147,1,low
de Bleury / de Maisonneuve,45.50710632433956,-73.56861054897308,11.834004602991945,0,medium
de Bordeaux / Masson,45.53898439552301,-73.5824453830719,9.669902912621358,1,low
de Bordeaux / Rachel,45.53207532297607,-73.56769983980485,9.701888858472488,1,low
de Bordeaux / Sherbrooke,45.529914321737415,-73.56302618980408,10.39014874420873,1,low
de Bordeaux / de Bellechasse,45.54325917626278,-73.59154611825943,7.424373146400647,1,low
de Bordeaux / du Mont-Royal,45.53451201270128,-73.57283771038055,13.089297439264609,0,medium
de Brébeuf / du Mont-Royal,45.52922355524467,-73.57784914976946,18.69077941925624,0,medium
de Castelnau / Lajeunesse,45.54043190217008,-73.61650675535202,7.1046449546182595,1,low
de Chambly / Rachel,45.54991069359101,-73.55826258659361,6.638017400474558,1,low
de Gaspé / Beaubien,45.531957916826386,-73.60700100660324,11.095331214861892,1,low
de Gaspé / Fairmount,45.52557815939422,-73.59285570681095,7.437639198218263,1,low
de Gaspé / St-Viateur,45.527672646696104,-73.59738260507582,10.075597218022377,1,low
de Gaspé / Villeray,45.53888723230076,-73.62390697002411,7.559901447489991,1,low
de Kent / de la Côte-des-Neiges,45.50144933057703,-73.63305062055588,7.412565445026178,1,low
de L'Esplanade  / Fairmount,45.521484558655224,-73.59684884548187,14.068815871047738,0,medium
de Lanaudière / Bélanger,45.54365085053057,-73.60565051436424,7.927770534550196,1,low
de Lanaudière / Laurier,45.5333136054992,-73.58373686671257,11.836659663865547,0,medium
de Lanaudière / Marie-Anne,45.52932643090091,-73.57480645179749,8.223300970873787,1,low
de Lanaudière / du Mont-Royal,45.53022106537559,-73.57699647545813,15.259812050856826,0,medium
de Léry / Sherbrooke,45.54099971663243,-73.55826258659361,6.7369318181818185,1,low
de Maisonneuve / Aylmer (est),45.50538591756765,-73.5704317688942,7.465343415248897,1,low
de Maisonneuve / Aylmer (ouest),45.505173440423306,-73.5706517100334,12.403186274509803,0,medium
de Maisonneuve / Fullum,45.52797141659334,-73.54948371648788,8.265041493775934,1,low
de Maisonneuve / Greene,45.48697062,-73.58929306,9.270248596631916,1,low
de Maisonneuve / Mansfield (nord),45.502386079583346,-73.57333794236183,8.937285491419656,1,low
de Maisonneuve / Mansfield (sud),45.502053864057466,-73.57346534729004,12.540135669869983,0,medium
de Maisonneuve / Mansfield (sud-est),45.50229349416256,-73.5733064264059,13.76154081320697,0,medium
de Maisonneuve / Wood,45.48819793805841,-73.58807051185067,7.609695973705834,1,low
de Maisonneuve / de Bleury,45.5070388622436,-73.56912677500077,7.226700971983991,1,low
de Mentana / Marie-Anne,45.526026565221414,-73.57785880565643,8.482059282371296,1,low
de Mentana / du Mont-Royal,45.52711832098521,-73.58031034469604,16.2191738594328,0,medium
de Rouen / Hogan,45.53636263222538,-73.55421245098114,5.886823400765445,1,low
de Rouen / Lespérance,45.538859462962286,-73.5528177022934,6.31383547008547,1,low
de St-Vallier / St-Zotique,45.536434338630336,-73.60783427975548,7.1996298254891595,1,low
de l'Esplanade / Beaubien,45.52839983858232,-73.61192286014557,8.728292121909144,1,low
de l'Esplanade / Rachel,45.51631633525551,-73.58359336853027,12.30401159980667,0,medium
de l'Esplanade / Villeneuve,45.51943184213857,-73.59095953859651,9.57780580075662,1,low
de l'Esplanade / du Mont-Royal,45.51825290855221,-73.5883381962776,12.050851900393186,0,medium
de l'Hotel-de-Ville / Ontario,45.51374520222444,-73.56666326522826,7.437810945273632,1,low
de l'Hôtel-de-Ville / Rachel,45.51989655507833,-73.58010649681091,10.164314516129032,1,low
de l'Hôtel-de-Ville / Roy,45.51733075399989,-73.57449866831303,8.855949294151541,1,low
de l'Hôtel-de-Ville / Sherbrooke,45.5145247302944,-73.56835573911665,8.935467858029288,1,low
de l'Hôtel-de-Ville / Ste-Catherine,45.51166045593874,-73.56213569641113,8.85608856088561,1,low
de l'Hôtel-de-Ville / Villeneuve,45.52348082760688,-73.58732756238169,7.727321237993596,1,low
de la Cathédrale / René-Lévesque,45.499161694813886,-73.56931967664423,7.001568873548792,1,low
de la Commune / Berri,45.51086,-73.54983,18.1633626097867,0,medium
de la Commune / King,45.49750375338383,-73.55284452438353,24.54356740133265,2,high
de la Commune / Place Jacques-Cartier,45.50761009451047,-73.55183601379395,30.660832064941655,2,high
de la Commune / St-Sulpice,45.50424245563397,-73.553469479084,22.2912920626766,2,high
de la Côte St-Paul / St-Ambroise,45.46766565386597,-73.59391784324544,8.026050420168067,1,low
de la Montagne / Notre-Dame,45.492913379064625,-73.5646878182888,16.308047653780694,0,medium
de la Porte de Québec / St-André,45.51329411414168,-73.55057805776596,6.456667561041052,1,low
de la Roche / Bélanger,45.541669595766315,-73.60760450363159,8.607833163784333,1,low
de la Roche / de Bellechasse,45.53718135927993,-73.59750330448149,7.628831256315258,1,low
des Bassins / du Séminaire,45.49047561880464,-73.56022328138351,16.083333333333332,0,medium
des Pins / Hutchison,45.510800289485616,-73.57822090387344,13.817696414950419,0,medium
des Pins / St-Laurent,45.51522812881499,-73.5750961303711,25.812733208955223,2,high
des Récollets / McGill,45.5008764952487,-73.55900555849075,9.186651144741948,1,low
des Érables / Laurier,45.538514913607656,-73.57769921422005,8.371524852569502,1,low
